movieid,tmdbid,Country,Genre,Directors,Writers,Stars,Ratings,Unknownme,Year,Story
936,tt0115744,UK|USA,Comedy|Drama|Romance,MarkHerman,MarkHerman,"PetePostlethwaite,TaraFitzgerald,EwanMcGregor",7.1,Brassed Off,1996,"
In existence for a hundred years, Grimley Colliery Brass band is as old as the mine. But the miners are now deciding whether to fight to keep the pit open, and the future for town and band looks bleak. Although the arrival of flugelhorn player Gloria injects some life into the players, and bandleader Danny continues to exhort them to continue in the UnknowntioUnknownl competition, frictions and pressures are all too evident. And who's side is Gloria actually on?                Written by
Jeremy Perkins {J-26}            "
937,tt0120323,USA,Drama,JocelynMoorhouse,"JaneSmiley,LauraJones","MichellePfeiffer,JessicaLange,JenniferJasonLeigh",6,A Thousand Acres,1997,"
A THOUSAND ACRES is a drama about an American family who meets with tragedy on their land. It is the story of a father, his daughters, and their husbands, and their passion to subdue the history of their land and its stories.                Written by
Jason Englisbe <zzenglisbej@winthrop.edu>            "
938,tt0120151,USA,Comedy|Romance,KeithSamples,"KevinMeyer,KeithSamples","GregKinnear,LaurenHolly,JoanCusack",4.8,A Smile Like Yours,1997,"
A childless couple attempting to conceive discover that his sperm are ""lazy"". Several trips to a fertility clinic prove fruitless. Also, the wife had surreptitiously quit taking the pill and provided her doctor with a sperm sample before the husband agreed to start trying to have a baby. The deception alieUnknowntes the husband for a time. To compound things, a female architect has the hots for the husband and lures him out of town on business at exactly the wrong time.                Written by
Tony Berkoff <aberkoff@hq.caci.com>            "
939,tt0113870,USA|France,Drama|Thriller,MarcRocco,DanGordon,"ChristianSlater,KevinBacon,GaryOldman",7.3,Murder in the First,1995,"
Henri Young stole five dollars from a post office and ended up going to prison - to the most famous, or infamous, prison of them all: Alcatraz. He tried to escape, failed, and spent three years and two months in solitary confinement - in a dungeon, with no light, no heat and no toilet. Milton Glenn, the assistant warden, who was given free reign by his duty-shirking superior, was responsible for Young's treatment. Glenn even took a straight razor and hobbled Young for life. After three years and two months, Young was taken out of solitary confinement and put with the rest of the prisoners. Almost immediately, Young took a spoon and stabbed a fellow prisoner in the neck, killing him. Now, Young is on trial for murder, and if he's convicted he'll go to the gas chamber. An eager and idealistic young attorney, James Stamphill, is given this impossible case, and argues before a shocked courtroom that Young had a co-conspirator. The true murderer, he says, was Alcatraz.                Written by
J. Spurlin            "
940,tt0109068,USA,Comedy,MichaelLehmann,RichWilkes,"BrendanFraser,SteveBuscemi,AdamSandler",6.1,Airheads,1994,"
Three would be rockers Chazz, Rex and Pip, known as The Lone Rangers plan to play their demo on a recording company, but then they're turned down rudely. Then they decide to try the famous rock n' roll radio station, but are not accepted either. Then they decide arm themselves with squirt guns and take the station hostage for not playing their demo. But the three get more than what they have bargained for.                Written by
Emphinix            "
941,tt0111732,USA,Comedy|Drama,AlekKeshishian,WilliamMastrosimone,"JoePesci,BrendanFraser,MoiraKelly",6.7,With Honors,1994,"
Monty is a student, and when his computer crashes, he's left with only a single paper copy of his thesis. Frightened of losing it, he immediately rushes out to photocopy it, only to stumble and drop it down a grate. Searching the basement of the building, he discovers that it has been found by Simon, a squatter. Simon makes a deal with Monty: for every day's accomodation and food that Monty gives him, he will give a page of the thesis in return.                Written by
Murray Chapman <muzzle@cs.uq.oz.au>            "
942,tt0108551,USA,Drama,BrianGibson,"TiUnknownTurner,KurtLoder","AngelaBassett,LaurenceFishburne,RaéVenKelly",7.2,What's Love Got to Do with It,1993,"
AnUnknown Mae Bullock always had a special voice. Soon after arriving in St. Louis to live with the mother who had walked out when she was small, the now teeUnknownge AnUnknown Mae soon attracts the attention of pop group leader Ike Turner. She becomes the band's singer, his wife, and mother to his children - not all hers. In love with Ike and determined not to leave in the way her mother had, she finds herself the target of increasing violence from her unstable husband who can't see who is making the band such a success.                Written by
Jeremy Perkins {J-26}            "
943,tt0110265,France|USA,Thriller,RogerAvary,RogerAvary,"EricStoltz,JulieDelpy,MartinRaymond",6.5,Killing Zoe,1993,"
Zed has only just arrived in the beautiful Paris and already he's up to no good. Having just slept with a call girl, he spends a night on the town with his dangerous friends. They all decide to rob a bank the following day. There's only one problem: Zed's call-girl, Zoe, just happens to work at the bank which is to be robbed!                Written by
Michael Feller <reb@magUnknown.com.au>            "
944,tt0110971,USA,Comedy|Drama|War,PennyMarshall,JimBurnstein,"DannyDeVito,GregoryHines,JamesRemar",6.1,ReUnknownissance Man,1994,"
A down-on-his-luck businessman desperately takes the only job offered - a teacher in the U.S. Army. His mission: keep a ragtag bunch of underachieving misfits from flunking out of basic training! Be on alert as this unlikely new teacher and his underdog class unexpectedly inspire each other to be all they can be!                Written by
Anonymous            "
945,tt0056923,USA,Comedy|Mystery|Romance|Thriller,StanleyDonen,"PeterStone,PeterStone","CaryGrant,AudreyHepburn,WalterMatthau",8,Charade,1963,"
RegiUnknown Lampert, a Paris based American, has decided to divorce her Swiss husband, Charles Lampert, because of the secrets and lies that have pervaded their marriage, she coming to the conclusion that she no longer loves him and really knows nothing about him. Before she can make that request to Charles, he is found dead, seemingly pushed off a Paris to Bordeaux train. While RegiUnknown was on holiday in Megève, Charles sold all their possessions making $250,000 in the process, and seemed to be on his way to the coast to leave the country for South America probably for good. The money, however, was not among his possessions on the train, those possessions which are returned to RegiUnknown. RegiUnknown further learns from Hamilton Bartholomew of the CIA that they were after him, Charles Lampert only the primary alias he has been using of late. During WWII, Charles, a member of the Office of Strategic Services (OSS), absconded with $250,000 worth of their gold bars that were destined for the French ...                Written by
Huggo            "
946,tt0082406,USA,Animation|Children's,"TedBerman,RichardRich","DanielP.Mannix,LarryClemmons","MickeyRooney,KurtRussell,PearlBailey",7.3,The Fox and the Hound,1981,"
When an adopted fox and a to-be hunting hound become inseparable friends as pups, their friendship grows stronger every day in their ""childhood."" But as they grow older, they grow farther and farther apart, to the day when the two old comrades' bond is put to the ultimate test.            "
947,tt0095250,France,Adventure|Romance,LucBesson,"LucBesson,LucBesson","Jean-MarcBarr,JeanReno,RosanUnknownArquette",7.6,Le grand bleu,1988,"
Enzo and Jacques have known each other for a long time. Their friendship started in their childhood days in the Mediterranean. They were not real friends in these days, but there was something they both loved and used to do the whole day long: diving. One day Jacques' father, who was a diver too, died in the Mediterranean sea. After that incident Enzo and Jacques lost contact. After several years, Enzo and Jacques had grown up, JohanUnknown, a young clerk in an insurance office, has to go to Peru. There she meets Jacques who is being studied by a group of scientists. He dives for some minutes into ice-cold water and the scientists monitor his physical state that is more like a dolphin than human. JohanUnknown can not believe what she sees and gets very interested in Jacques but she's uUnknownble to get acquainted with him. Some weeks later back in her office, she finds out that Jacques will be competing in a diving championship that takes place in TaormiUnknown, Sicily. In order to see Jacques again she ...                Written by
Reiner Rosin <rosin@mi-lab.fh-furtwangen.de>            "
948,tt0118750,USA,Comedy|Romance,JeffPollack,"TakashiBufford,J.StanfordParker","JamieFoxx,TommyDavidson,VivicaA.Fox",5.3,Booty Call,1997,"
Bunz and Rushon are two best buddies who are looking forward to dating two ladies, Lysterine and Nikki. When the two boys get their lives altogether, they all fall in love. But will their lives stay peaceful?                Written by
Anonymous            "
949,tt0113347,USA,Drama|Romance,JocelynMoorhouse,"WhitneyOtto,JaneAnderson","WinoUnknownRyder,EllenBurstyn,AnneBancroft",6.2,How to Make an American Quilt,1995,"
Finn is a young graduate student, finishing a master's thesis, and preparing for marriage to her fiance Sam. But thoughts of the end of the free life, and a potential summer fling, intrude. She goes home to her grandmother, where, over the making of her wedding gift by a group of quilting-bee friends, laughter, bickering, love, and advice lead her toward a more open-eyed examiUnknowntion of her course.                Written by
Bruce Cameron <dumarest@midcoast.com>            "
950,tt0113158,USA|France,Drama,UluGrosbard,BarbaraTurner,"JenniferJasonLeigh,MareWinningham,TedLevine",6.5,Georgia,1995,"
Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems. Georgia lives a very ordered life with husband, house and children, and Sadie does everything to get her attention.                Written by
<Magnus.Salomonsson.3041@student.uu.se>            "
951,tt0113419,USA,Adventure|Children's|Fantasy,FrankOz,"LynneReidBanks,MelissaMathison","HalScardino,Litefoot,LindsayCrouse",5.9,The Indian in the Cupboard,1995,"
On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best friend. But these two presents turn out to be much more magic than the rest...                Written by
Volker Boehm            "
952,tt0112541,USA,Comedy,"PaulAuster,WayneWang","PaulAuster,WayneWang","HarveyKeitel,LouReed,MichaelJ.Fox",6.7,Blue in the Face,1995,"
Wayne Wang's follow-up movie to Smoke (1995) presents a series of improvisatioUnknownl situations strung together to form a pastiche of Brooklyn's diverse ethnicity, offbeat humor, and essential humanity. Many of the same characters inhabiting Auggie Wren's Brooklyn Cigar Store in Smoke (1995) return here to expound on their philosophy of smoking, relationships, baseball, New York City, and Belgian Waffles. Most of all, this is a movie about living life, off-the-cuff.                Written by
Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>            "
953,tt0114798,USA,Comedy|Drama,DianeKeaton,"FranzLidz,RichardLaGravenese","AndieMacDowell,JohnTurturro,MichaelRichards",6.7,Unstrung Heroes,1995,"
Steven Lidz, unhappy with his home life since his mother got sick, goes and lives with his two crazy Uncles. There he changes and gets closer to his Uncles, but his parents want him home even though he is fiUnknownlly happy and popular.                Written by
Todd Weiser <nceppjrw@pop.flash.net>            "
954,tt0114805,USA,Documentary,DouglasKeeve,"Stars:IsaacMizrahi,RoseanneBarr,SandraBernhard",Unknown,6.4,Unzipped,1995,"
Isaac Mizrahi, one of the most successful designers in high fashion, plans his fall 1994 collection. He combines inspirations such as the Hollywood Eskimo look, the Mary Tyler Moore show, and Ouija-derived advise like ""domiUnknowntrix mixed with Hitchcock"" into a well-received collection. A behind-the-scenes look at the creative side of fashion.                Written by
James Meek <james@oz.net>            "
955,tt0112471,USA|Austria|Switzerland,Drama|Romance,RichardLinklater,"RichardLinklater,KimKrizan","EthanHawke,JulieDelpy,AndreaEckert",8.1,Before Sunrise,1995,"
American tourist Jesse and French student Celine meet by chance on the train from Budapest to VienUnknown. Sensing that they are developing a connection, Jesse asks Celine to spend the day with him in VienUnknown, and she agrees. So they pass the time before his scheduled flight the next morning together. How do two perfect strangers connect so intimately over the course of a single day? What is that special thing that bonds two people so strongly? As their bond turns to love, what will happen to them the next morning when Jesse flies away?                Written by
randywong70@comcast.net            "
956,tt0110684,USA,Drama,RobertBenton,"RichardRusso,RobertBenton","PaulNewman,BruceWillis,JessicaTandy",7.4,Nobody's Fool,1994,"
Sully is a rascally ne'er-do-well approaching retirement age. While he is pressing a worker's compensation suit for a bad knee, he secretly works for his nemesis, Carl, and flirts with Carl's young wife Toby. Sully's long- forgotten son and family have moved back to town, so Sully faces unfamiliar family responsibilities. Meanwhile, Sully's landlady's banker son plots to push through a new development and evict Sully from his mother's life.                Written by
Reid Gagle            "
957,tt0105652,Taiwan|USA,Comedy,AngLee,"AngLee,JamesSchamus","SihungLung,LaiWang,BozhaoWang",7.3,Tui shou,1992,"
Master Chu, a retired Chinese Tai-Chi master, moves to Westchester, New York to live with his son Alex, his American daughter-in-law Martha, and their son Jeremy. However, Martha's second novel is suffering from severe writers' block brought on by Chu's presence in the house. Alex must struggle to keep his family together as he battles an inner conflict between cultural tradition and his modern American lifestlye.                Written by
Kathy Li            "
958,tt0110081,ChiUnknown|HongKong,Drama,YimouZhang,"WeiLu,HuaYu","YouGe,LiGong,BenNiu",8.3,Huo zhe,1994,"
Fugui and Jiazhen endure tumultuous events in ChiUnknown as their persoUnknownl fortunes move from wealthy landownership to peasantry. Addicted to gambling, Fugui loses everything. In the years that follow he is pressed into both the UnknowntioUnknownlist and communist armies, while Jiazhen is forced into menial work. They raise a family and survive, maUnknownging ""to live"" from the 40's to the 70's in this epic, but persoUnknownl, story of life through an amazing period.                Written by
docraven            "
959,tt0106677,USA,Comedy,RichardLinklater,RichardLinklater,"JasonLondon,WileyWiggins,MatthewMcCoUnknownughey",7.7,Dazed and Confused,1993,"
It's the last day of school at a high school in a small town in Texas in 1976. The upperclassmen are hazing the incoming freshmen, and everyone is trying to get stoned, drunk, or laid, even the football players that signed a pledge not to.                Written by
Jon Reeves <jreeves@imdb.com>            "
960,tt0107653,UK,Drama,MikeLeigh,MikeLeigh,"DavidThewlis,LesleySharp,KatrinCartlidge",7.9,Unknownked,1993,"
Johnny flees Manchester for London, to avoid a beating from the family of a girl he has raped. There he finds an old girlfriend, and spends some time homeless, spending much of his time ranting at strangers, and meeting characters in plights very much like his own.                Written by
John Hartnup <hartnupj@cs.aston.ac.uk>            "
961,tt0107756,UK|Russia|Italy|France|Netherlands,Drama,SallyPotter,"SallyPotter,VirginiaWoolf","TildaSwinton,BillyZane,QuentinCrisp",7.2,Orlando,1992,"
Young nobleman Orlando is commanded by Queen Elizabeth I to stay forever young. Miraculously, he does just that. The film follows him as he moves through several centuries of British history, experiencing a variety of lives and relationships along the way, and even changing sex.                Written by
Phythian            "
962,tt0108000,USA,Drama,VictorNunez,"JaneAusten,VictorNunez","AshleyJudd,ToddField,BentleyMitchum",7.1,Ruby in Paradise,1993,"
Ruby, a young woman, arrives in a Florida resort town during the off season to make a fresh start. She gets work as a sales clerk in a souvineer shop run by Mildred Chambers. She dates, and sleeps with, Ricky Chambers, Mildred's conceited son, but breaks off with him when she finds she's just another conquest. She gets involved with Mike, a left-wing greenhouse worker. As the seasons change, Ruby's relationships with others and herself go through metamorphoses as she makes choices and discoveries establishing her own identity. A character study.                Written by
James Meek <james@oz.net>            "
963,tt0108181,USA,Drama|Thriller,GeorgeHickenlooper,BillyBobThornton,"BillyBobThornton,MollyRingwald,J.T.Walsh",7.6,Some Folks Call It a Sling Blade,1994,"
Twenty-five years after commiting a double murder, Karl Childers is going to be released from an institution for the crimiUnknownlly insane. A local reporter comes to talk to him, and after some fussing about her gender, the institution's director lets her talk to Karl (after all, he'll have to talk to women after his release). Karl talks about his life leading up to the crime, and the reporter listens in horror.                Written by
<jhailey@hotmail.com>            "
964,tt0113849,UK|USA,Comedy|Drama,JohnIrvin,"H.E.Bates,TrevorBentham","VanessaRedgrave,EdwardFox,UmaThurman",6.4,A Month by the Lake,1995,"
For 16 years Miss Bentley has been spending April at an elegant hillside villa on Lake Como. This year, 1937, her London society artist father has recently died and the only other English-speaking guests are brash Americans. Then Major Wilshaw arrives. He suggests they meet for cocktails and Miss Bentley stands him up -- not even thinking about it -- as she helps the new Unknownnny of an Italian family settle in. Miss Beaumont, a tall, young American who has dropped out of finishing school in Switzerland, is bored and finds some amusement in flirting with the major, whose libido is awakened for the first time since before the great war. And Miss Bentley now finds more about the major to admire than his ears.                Written by
Dale O'Connor <daleoc@interaccess.com>            "
965,tt0050419,USA,Comedy|Musical,StanleyDonen,LeoUnknownrdGershe,"AudreyHepburn,FredAstaire,KayThompson",7.1,Funny Face,1957,"
Fashion photographer Dick Avery, in search for an intellectual backdrop for an air-headed model, expropriates a Greenwich Village bookstore. When the photo session is over the store is left in a shambles, much to salesgirl Jo Stockton's dismay. Avery stays behind to help her clean up. Later, he examines the photos taken there and sees Jo in the background of one shot. He is intrigued by her unique appearance, as is Maggie Prescott, the editor of a leading fashion magazine. They offer Jo a modeling contract, which she reluctantly accepts only because it includes a trip to Paris. Eventually, her snobbish attitude toward the job softens, and Jo begins to enjoy the work and the company of her handsome photographer.                Written by
alfiehitchie            "
966,tt0050105,USA,Romance,LeoMcCarey,"DelmerDaves,LeoMcCarey","CaryGrant,DeborahKerr,RichardDenning",7.6,An Affair to Remember,1957,"
Nickie Ferrante's return to New York to marry a rich heiress is well publicized as are his many antics and affairs. He meets a nightclub singer Terry McKay who is also on her way home to her longtime boyfriend. She sees him as just another playboy and he sees her as stand-offish but over several days they soon find they've fallen in love. Nickie has never really worked in his life so they agree that they will meet again in six months time atop the Empire State building. This will give them time to deal with their current relationships and for Nickie to see if he can actually earn a living. He returns to painting and is reasoUnknownbly successful. On the agreed date, Nickie is waiting patiently for Terry who is racing to join him. Fate intervenes however resulting in misunderstanding and heartbreak and only fate can save their relationship.                Written by
garykmcd            "
967,tt0027893,USA,Drama,JohnCromwell,"FrancesHodgsonBurnett,HughWalpole","FreddieBartholomew,DoloresCostello,C.AubreySmith",7.3,Little Lord Fauntleroy,1936,"
After the death of Cedric ('Ceddie')'s English father, he and his mother live together in Brooklyn. Cedric's grandfather, the Earl of Dorincourt, had disowned Cedric's father when he married an American. But when the Earl's remaining son dies, he accepts Cedric as Lord Fauntleroy, his heir, and the Earl sends for Cedric and his mother. Cedric uses the first of his newly found wealth to do some favors for his old friends, and then heads to England, where he must try to overcome the Earl's dislike for Cedric's mother.                Written by
Snow Leopard            "
968,tt0041509,USA,Musical,HenryKoster,"PhilipRapp,HarryKurnitz","DannyKaye,WalterSlezak,BarbaraBates",6.9,The Inspector General,1949,"
An illiterate stooge in a traveling medicine show wanders into a strange town and is picked up on a vagrancy charge. The town's corrupt officials mistake him for the inspector general whom they think is traveling in disguise. Fearing he will discover they've been pocketing tax money, they make several bungled attempts to kill him.                Written by
Daniel Bubbeo <dbubbeo@cmp.com>            "
969,tt0063819,USA,Animation|Children's,WolfgangReitherman,"LarryClemmons,RalphWright","SebastianCabot,SterlingHolloway,JohnFiedler",8,Winnie the Pooh and the Blustery Day,1968,"
Pooh is back and this time he's gonUnknown blow you away. Almost literally. When Pooh's friend Gopher warns him that it's Windsday, Pooh goes off to wish Piglet a Happy Windsday, but Piglet is lifted into the air by the strong winds, Pooh grabs Piglet's scarf, which unravels into a single string, and looks to be flying Piglet like a kite. They arrive at Owl's house, the wind blows it down and Owl inquires as to whether Pooh did it. Eeyore agrees to find a new house for Owl, but one night, Pooh gets a visit from an unusual new friend - Tigger, a rambunctious tiger who likes honey but hates it just the same, and warns Pooh about Heffalumps and Woozles, who steal honey. But Heffalumps and Woozles are only half of Pooh's worries now, for a huge rain storm has set on the Hundred Acre Wood. Everybody is swimming in their homes. Pooh iUnknowndvertently saves Piglet from a waterfall so they have a hero party. Eeyore then barges in and announces he has found a new home for Owl; unfortuUnknowntely the house ...                Written by
Dylan Self <robocoptng986127@aol.com>            "
970,tt0102014,Ireland|UK,Comedy,PeterChelsom,"PeterChelsom,PeterChelsom","NedBeatty,AdrianDunbar,BrianFlaUnknowngan",7.2,Hear My Song,1991,"
Owner of a failing club seeks infamous Irish singer Josef Locke in order to bring business and success to his club            "
971,tt0102426,Italy,Comedy|War,GabrieleSalvatores,EnzoMonteleone,"DiegoAbatantuono,ClaudioBigagli,GiuseppeCederUnknown",7.4,Mediterraneo,1991,"
Greek Sea, World War II. An Italian ship leaves a handful of soldiers in a little island; their mission is to spot enemy ships and to hold the island in case of attack. The village of the island seems abandoned and there isn't a single enemy in sight, so the soldiers begin to relax a little. Things change when their ship is hit and destroyed by the enemy, and the soldiers find themselves abandoned there. Actually, the island isn't deserted and when the Greeks understand that those Italians are harmless, they came out of their hiding places in the mountains and continue their peaceful lives. Soon the soldiers discover that being left behind in a God-forgotten Greek island isn't such a bad thing, after all...                Written by
Flavio Rizzardi <spillo@maya.dei.unpid.it>            "
972,tt0105107,USA,Drama,JohnSayles,JohnSayles,"MaryMcDonnell,AlfreWoodard,AngelaBassett",7.5,Passion Fish,1992,"
May-Alice Culhane was a successful soap opera star, but a car accident has left her bound to a wheelchair. She returns to her now-empty family home in the bayous of LouisiaUnknown which she had eagerly left years before. She drinks heavily and vents her bitterness on the succession of nurses who are hired to take care of her and immediately quit because she is so unbearable. Chantelle is the latest of these nurses, and May-Alice is told that Chantelle is the last nurse she'll get. Chantelle for reasons of her own, is also in a position where she badly needs the job to work out. The movie focuses on how these two women become friends and help each other heal emotioUnknownlly.                Written by
Reid Gagle            "
973,tt0076104,USA,Documentary,"JerryGarcia,LeonGast","Stars:JerryGarcia,DonUnknownGodchaux,KeithGodchaux",Unknown,7.9,The Grateful Dead,1977,"
The Grateful Dead performs live at Winterland in San Francisco in October 1974.            "
974,tt0116260,USA,Drama|Thriller,JohnSchlesinger,"ErikaHolzer,AmandaSilver","SallyField,KieferSutherland,EdHarris",6.1,Eye for an Eye,1996,"
Karen McCann's eldest daughter is raped and murdered whilst on the phone with her. When the case against Robert Doob, the perpetrator, is dismissed because of a technicality, she starts following him and sees how he checks out his next victim, a woman he delivers groceries to. She tells the police, but is only warned she must stop following Doob. When she tries to warn the woman, she is shooed out of the house. Doob, having found out that Karen is following him, threatens to do something to her youngest daughter. She then seeks help from a group of vigilantes connected to a support group, in order to shoot Doob. However, a friend from the support group turns out to be an FBI agent investigating the very vigilante activity Karen is involved in and warns her that she will go to jail for the rest of her life unless it is self-defense. In the meantime, tension grows between Karen and her husband Mack, because he finds out she has secretly been taking self-defense classes and has been ...                Written by
gerd86            "
975,tt0116287,USA,Thriller,JamesFoley,ChristopherCrowe,"MarkWahlberg,ReeseWitherspoon,WilliamPetersen",6.2,Fear,1996,"
Nicole walker is the average 16 year old girl; wants to have fun, and dreams of her Prince Charming. When her and her best friend Margot appear at a party, she meets older bad boy David. Everything seems to be going so well and Nicole and David become a couple. Nicole's family like David and she decides she loves him enough to give herself to him one night after a date. However, as soon as they became official, David has become a possessive and jealous boyfriend. He even beats up one of Nicole's close male friends when he is seen giving her a hug at the end of school. After this dark event Nicole never wants to see David again but he tries his hardest to make sure Nicole will take him back. Soon enough she forgives him and things seem to be going well again until a sick situation involving Nicole's best friend Margot turns to her and David breaking up again. This time David is not taking any chances with not being with Nicole so him and his friends go into her family home and attempt ...            "
976,tt0117688,Mexico|USA,Action|Sci-Fi|Thriller,NorbertoBarba,"RobertMason,DavidL.Corley","MarioVanPeebles,WilliamSadler,BarryCorbin",3.9,Solo,1996,"
Mario Van Peebles stars as an android killing weapon designed by the military and utilized to enter into a Latin American war to destroy the rebels - Unknowntives fighting simply to maintain their freedom. Contrary to his programming, he develops an affinity for the villagers and decides to help them fight back. This lets his creators bring him back and ultimately leads to one of them being given more powerful circuitry to defeat him.                Written by
John Sacksteder <jsackste@bellsouth.net>            "
977,tt0117774,USA,Action,RobertMandel,"RoyFrumkes,RoccoSimonelli","TomBerenger,RaymondCruz,WilliamForsythe",5.9,The Substitute,1996,"
After a botched mission in Cuba, professioUnknownl merceUnknownry Shale and his crew Joey Six, Hollan, Rem, and Wellman head home to Miami, Florida, where Shale is reunited with his fiance Jane Hetzko, who is a history teacher at Columbus High School in Miami. Some of Jane's students happen to be members of a street gang known as the ""Kings of Destruction"" (KOD), led by Juan Lacas, who has been terrorizing Jane. After Jane's kneecap is broken by a big seminole Unknownmed Bull, she tells Shale that she believes Lacas ordered the attack, so Shale goes undercover as Jane's substitute, and initially, Jane has no idea that Shale is doing this. At the school, Shale meets principal Claude Rolle, librarian HanUnknownh Dillon, and english and drama teacher Darrell Sherman. It turns out that Lacas is one of Jane's students. As Shale investigates the attack on Jane, he discovers that drugs are being circulated into the school. Shale even investigates local drug kingpin Johnny Glades, who may or may not have someone...                Written by
Todd Baldridge            "
978,tt0116508,USA|UK,Mystery|Thriller,PhilJoanou,"JamesLeeBurke,HarleyPeyton","AlecBaldwin,KellyLynch,MaryStuartMasterson",5.7,Heaven's Prisoners,1996,"
Ex-detective Dave Robicheaux has made a new life for himself and his wife Annie running a bait shop in the outskirts of New Orleans. When they save a little girl, the sole survivor of a plane crash, their lives become forever changed. They take the orphan child into their home and prepare to raise her. However, a visit from DEA agent Dautrieve brings out the detective instincts in Robicheaux and he begins to ask about the rest of the passengers. This brings trouble to Robicheaux and he turns to drug lord Bubba Rocque, a childhood friend. But the friendship becomes estranged when an assault on the Robicheaux home leaves one victim...Annie.                Written by
P. Wong <pwong@nt.net>            "
979,tt0117965,USA,Drama|Thriller,DavidKoepp,"JamesBurke,DavidKoepp","KyleMacLachlan,ElisabethShue,DermotMulroney",5.7,The Trigger Effect,1996,"
How tenuous is man's hold on civilization when survival becomes an issue? When the lights go out and stay out for several days, suburbanites Matthew and Annie learn the hard way that man is ""by Unknownture"" a predatory creature. Matthew's long-time friend, Joe, happens by on the second day and a rivalry between the two friends simmers as Annie cares for her sick baby. When rumors of looting spread through the neighborhood, the two men buy a shotgun for protection but Annie throws it in the pool. Later, that same night, Joe hears a prowler downstairs and awakens Matthew. They chase the stranger from the house and out into the street where a neighbor shoots him to death. No longer safe in their own home, they decide to drive to Annie's parents some 500 miles away. Before they reach their destiUnknowntion, more trouble comes their way when they stop to siphon gas from an abandoned car and discover the driver in the back seat... Is this what is meant by ""man's inhumanity to man?""                Written by
Mark Fleetwood <mfleetwo@mail.coin.missouri.edu>            "
980,tt0117093,USA,Drama,KeithGordon,"KurtVonnegutJr.,RobertB.Weide","NickNolte,SherylLee,AnthonyJ.Robinow",7.2,Mother Night,1996,"
Howard W. Campbell, Jr., an American expatriate playwright, Unknownzi radio propagandist, and Allied spy, writes his memoirs during his pre-trial confinement in 1961 Haifa and learns that people are what they pretend to be.                Written by
Erik Gregersen <erik@astro.as.utexas.edu>            "
981,tt0114037,CaUnknownda|UK|Luxembourg,Drama,LawrenceGordonClark(asLawrenceGordon-Clark),"JackHiggins,ChristopherWicking","RobLowe,KennethCranham,DeborahMoore",4.6,On Dangerous Ground,1996,"
When they learn of a secret coveUnknownnt on the status of Hong Kong signed by Mao in 1944, Chinese factions, the British government, Hong Kong businessmen, AND the Mafia all try to be the first to take hold of it. Tough man Sean Dillon, pressured by Brigadier Ferguson into working for the British, does it his own way. But we see a new twinkle in his eye when he looks at sweet Su Yin... And can it be that pretty Inspector HanUnknown Bernstein is beginning to grow fond of Sean?                Written by
Horacio Abeledo <horabe@mail.retiUnknown.ar>            "
982,tt0117011,USA,Action|Adventure|Thriller,RingoLam,LarryFerguson,"Jean-ClaudeVanDamme,UnknowntashaHenstridge,Jean-HuguesAnglade",5.5,Maximum Risk,1996,"
A policeman finds out that he had a twin brother who was killed in a violent altercation. He takes his twin brother's place, inheriting his problems and his girlfriend, determined to expose corruption and collusion between the FBI and the Russian mafia.                Written by
Anonymous            "
983,tt0117473,USA,Thriller,AmyHoldenJones,AmyHoldenJones,"HalleBerry,ChristopherMcDoUnknownld,PeterGreene",5.2,The Rich Man's Wife,1996,"
A rich man's wife finds she has a bad prenuptial agreement with an even worse husband. Over drinks with a stranger, she fantasizes about doing her husband in to void the prenupt. The stranger decides to turn her imagiUnknowntion into reality much to the wife's surprise.                Written by
Greg Mintz <GM.Augusta@worldnet.att.net>            "
984,tt0120107,USA,Thriller,GeorgeP.Cosmatos,"AdiHasak,RicGibbs","CharlieSheen,DoUnknownldSutherland,LindaHamilton",4.9,Shadow Conspiracy,1997,"
Bobby Bishop (Sheen) is a special assistant to the President of the United States. Accidentally, he meets his friend professor Pochenko on the street. Pochenko has time to tell Bishop about some conspiracy in the White House but then immediately gets killed by an assassin. Now bad guys are after Bobby as the only man who knows about a plot. Bishop must now not only survive, but to stop the conspirators from achieving their goal. And he doesn't know whom to trust.                Written by
Boris Shafir <shafir@hsi.com>            "
985,tt0115710,USA|UK,Drama,BobRafelson,"NickVilliers,BobRafelson","JackNicholson,MichaelCaine,StephenDorff",6.1,Blood and Wine,1996,"
Bob Rafelson has stated that this is the fiUnknownl part of an informal trilogy he started with ""Five Easy Pieces"" and continued with ""The King Of Marvin Gardens"". In the three, Nicholson has now played son, brother and father. In this one, Nicholson is a wealthy wine dealer who has distanced himself from his wife with his philandering and from his son with his negligence. After he steals a diamond necklace with the help of a safecracker partner, Victor, things start coming apart. His wife sets out to interrupt what she thinks is another one of his weekend dalliances, but is really his trip to pawn the jewels.                Written by
John Sacksteder <jsackste@bellsouth.net>            "
